video_id,video_url,video_title,published_at,website,use,details,frame_path,
yuhUwdzjlNE,https://www.youtube.com/watch?v=yuhUwdzjlNE,Google Secrets I Guarantee You Didn't Know!,4/21/2024,google.com,Combine two emojis into one using Google's emoji mashup tool,"Searching for a particular term on Google lets you access a tool that merges two emojis into a new combined emoji, allowing creative combinations like a cowboy hat with a sunrise or football.",data\raw\frames\frame_video_yuhUwdzjlNE_google_com_002.jpg,
3gLwyqJgbes,https://www.youtube.com/watch?v=3gLwyqJgbes,Play Unblocked Games at School or Work,4/14/2024,artclass.site,Access unblocked games at school or work,"By typing 'homework.artclass.site' in a browser, users can launch an about:blank page that disguises the site, allowing access to various unblocked games like Minecraft, Super Mario 64, and Slope.",data\raw\frames\frame_video_3gLwyqJgbes_artclass_site_002.jpg,
zHrT4X8FNhI,https://www.youtube.com/watch?v=zHrT4X8FNhI,This Cured My Boredom,4/8/2024,google earth,Flight simulator built into Google Earth Pro desktop application,"By launching Google Earth Pro on desktop and pressing control + alt + A, you can access a flight simulator where you choose your airplane and airport to fly from, allowing for an interactive flying experience within the app.",data\raw\frames\frame_video_zHrT4X8FNhI_google earth_002.jpg,
BVTJliBUS-Y,https://www.youtube.com/watch?v=BVTJliBUS-Y,The Most Useful Computer Trick Ever,4/1/2024,ismycomputeron.com,Check if your computer is turned on,"After opening Firefox, go to the URL bar and type ismycomputeron.com to verify if your computer is on.",data\raw\frames\frame_video_BVTJliBUS-Y_ismycomputeron_com_000.jpg,
yEBgiITK28k,https://www.youtube.com/watch?v=yEBgiITK28k,The Most Useful Ai Tools,3/25/2024,huggingface.co,Discover and experiment with various AI tools including image generation and logo integration,"The speaker describes a website with a 'spaces' section offering AI tools like 'instant ID' which creates images by combining an uploaded face, a reference pose, and a text prompt, and 'illusion diffusion' which generates images integrating uploaded logos with user prompts, demonstrating creative AI image generation capabilities.",data\raw\frames\frame_video_yEBgiITK28k_not explicitly mentioned_000.jpg,
IzeiBb_9B9U,https://www.youtube.com/watch?v=IzeiBb_9B9U,Find Celebrities Near You,3/21/2024,tjukanovt.github.io/notable-people,Find notable people from any place in the world on an interactive map,"By searching a specific phrase on Google and clicking the first link, you access a map that shows the most notable person from every location worldwide, allowing you to explore famous individuals by region, such as Taylor Swift in Pennsylvania or Einstein in Germany.",data\raw\frames\frame_video_IzeiBb_9B9U_not explicitly named (implied google search leading to a notable people map)_002.jpg,
u9N5ObU45Bk,https://www.youtube.com/watch?v=u9N5ObU45Bk,This Website Saved Me,3/12/2024,carcarekiosk.com,Provides step-by-step car maintenance videos and parts info,"Carcarekiosk.com allows users to select their car make and model, such as a Toyota Tacoma, and access numerous maintenance guides specific to their vehicle. It offers step-by-step videos for various repairs, like replacing a brake light, along with information on the parts needed, making it a helpful resource for DIY car maintenance.",data\raw\frames\frame_video_u9N5ObU45Bk_unknown_website_004_00.jpg,
pEnJK_UKEcQ,https://www.youtube.com/watch?v=pEnJK_UKEcQ,Create A Game or Website With a Drawing,3/6/2024,sketch2app.io,"Generate apps, games, and websites from hand-drawn sketches","Sketch2app.io allows users to create apps, games, and websites by drawing a sketch and capturing it via webcam. The website then generates the project based on the drawing. Users can test the generated game and if there are issues, such as game logic not working correctly, they can specify fixes at the bottom of the interface and regenerate the project to improve functionality.",data\raw\frames\frame_video_pEnJK_UKEcQ_unknown_website_002_00.jpg,
ySzjCbgbJek,https://www.youtube.com/watch?v=ySzjCbgbJek,Create A Comic Based On Your Life!,2/28/2024,huggingface.co/spaces/jbilcke-hf/ai-comic-factory,Create AI comics,Unable to extract detailed information from transcript,data\raw\frames\frame_video_ySzjCbgbJek_unknown_website_003_02.jpg,
B4pIbpbFJwo,https://www.youtube.com/watch?v=B4pIbpbFJwo,I Was Today Years Old When,2/22/2024,google maps,Report and request blurring of personal or inappropriate images in Street View,"Users can click the three dots in Street View, select 'report a problem,' drag a red box over the area they want removed, specify the issue, and request Google Maps to blur out personal property such as houses, cars, or faces.",data\raw\frames\frame_video_B4pIbpbFJwo_google maps_001.jpg,
Iz-5s36TmJg,https://www.youtube.com/watch?v=Iz-5s36TmJg,How To Create The Best Videos,2/13/2024,eyecannndy.com,Library of categorized video effects with examples and names,"Eyecanndy.com provides a large, searchable library of video techniques, each accompanied by a GIF demonstrating the effect and detailed information including the technique's name. This allows users to identify specific video effects seen in clips and then easily find tutorials on how to recreate them by searching the technique name on YouTube.",data\raw\frames\frame_video_Iz-5s36TmJg_unknown_website_009_00.jpg,
aKYsGuSoSKE,https://www.youtube.com/watch?v=aKYsGuSoSKE,I Hate When Websites Do This!,2/9/2024,cooked.wiki,Provides concise recipes by removing extra website content,"By modifying the URL of a recipe website to include 'cooked wiki/' before the HTTPs, you can strip away unnecessary content and get a clean, straightforward recipe with just the directions.",data\raw\frames\frame_video_aKYsGuSoSKE_cooked_wiki_000.jpg,
xBqPQ9Gn4y8,https://www.youtube.com/watch?v=xBqPQ9Gn4y8,A Powerful Website I Guarantee You Didn't Know,2/5/2024,radio.garden,Listen to radio stations worldwide via an interactive map,"Radio.garden allows users to listen to radio stations from around the world on their computer by scrolling across an interactive globe. Each green dot on the map represents a different radio station, enabling easy exploration and listening to diverse global broadcasts.",data\raw\frames\frame_video_xBqPQ9Gn4y8_unknown_website_004_00.jpg,
jm-d8WMWQvA,https://www.youtube.com/watch?v=jm-d8WMWQvA,Why You Shouldn't Trust Screenshots...,1/28/2024,fakedetail.com,Create fake text messages or social media posts for demonstration,"Allows you to select message types like Facebook chat, customize sender and message content, preview live, and download realistic-looking fake messages that appear authentic on your phone.",data\raw\frames\frame_video_jm-d8WMWQvA_unspecified website for creating fake messages_000.jpg,
JQjzhbyTBQE,https://www.youtube.com/watch?v=JQjzhbyTBQE,Create an Entire Video with ChatGPT? #invideoAiPartner,1/25/2024,chat.openai.com,Create videos using AI prompts and explore GPT-powered tools,"By accessing ChatGPT, especially with the Plus plan, users can explore the GPT store and find tools like Nvidia AI's Video Maker to generate detailed video content from text prompts.",data\raw\frames\frame_video_JQjzhbyTBQE_chat_openai_com_000.jpg,
JQjzhbyTBQE,https://www.youtube.com/watch?v=JQjzhbyTBQE,Create an Entire Video with ChatGPT? #invideoAiPartner,1/25/2024,invideo.io,Preview and edit AI-generated videos with free and paid plans,"Signing up for a free InVideo account allows users to preview videos generated by Nvidia AI's Video Maker, make edits via a command box, and upgrade to paid plans starting at $20/month to remove watermarks and access more features.",data\raw\frames\frame_video_JQjzhbyTBQE_invideo_io_001.jpg,
UWNOcFwrn1w,https://www.youtube.com/watch?v=UWNOcFwrn1w,Amazon Doesn't Tell You This!,1/15/2024,fakespot.com,Analyze and filter out fake and unnatural Amazon product reviews,"You can paste the URL of an Amazon product into Fakespot's text box and run a report that removes fake and unnatural reviews, providing a new, more accurate rating along with a detailed report card explaining why certain reviews were removed.",data\raw\frames\frame_video_UWNOcFwrn1w_fakespot_com_001.jpg,
2ax2jMzsIzM,https://www.youtube.com/watch?v=2ax2jMzsIzM,This Is Why You Can't Find A Job,1/11/2024,jobscan.co,Resume keyword scanner to match your resume with job descriptions,"The speaker suggests using a website where you can upload or paste your resume and then paste the job description to scan for keyword matches, revealing your match rate and missing keywords to improve your resume's chances of passing automated screening.",data\raw\frames\frame_video_2ax2jMzsIzM_not explicitly named in the transcript_000.jpg,
q9mgX-nYqFU,https://www.youtube.com/watch?v=q9mgX-nYqFU,ChatGPT on Your Phone?,1/5/2024,copilot app,Use GPT-4 and generate AI images on your phone for free,"The Copilot app allows you to access GPT-4 capabilities without paying, enabling tasks like writing cover letter templates and generating images using DALL·E 3. You can create multiple image variations, upload your own photos, and have the app generate logos or artwork in the style of uploaded images, with options to add custom text.",data\raw\frames\frame_video_q9mgX-nYqFU_copilot app_001.jpg,
ddA5O-pQQS0,https://www.youtube.com/watch?v=ddA5O-pQQS0,Don't Get Caught Doing This!,12/28/2023,No website,Uncensor a screenshot,Processing status: vision_done,,
lxJYBCaW97A,https://www.youtube.com/watch?v=lxJYBCaW97A,The Most Frustrating Game Ever,12/20/2023,neal.fun/password-game/,Play a challenging and infuriating password creation game,"neal.fun/password-game/ is an interactive website where users must create passwords that satisfy increasingly complex and specific rules, such as including certain letters, numbers, sums of digits, months, sponsor names, or today's Wordle answer. The game progressively adds constraints, making it difficult and frustrating, providing an engaging challenge for users who enjoy puzzle-like tasks. The speaker highlights the game's difficulty and the fun in trying to meet all the evolving password requirements.",data\raw\frames\frame_video_lxJYBCaW97A_unknown_website_003_00.jpg,
l7z_O--N4VE,https://www.youtube.com/watch?v=l7z_O--N4VE,Will My Boss Get Mad at Me For This?,12/10/2023,No website,Open up excel workbook when boss/coworker enters room,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_l7z_O--N4VE_unknown_website_002_00.jpg,
IbfibAc9FDA,https://www.youtube.com/watch?v=IbfibAc9FDA,How Does This Even Work!?,12/6/2023,krea.ai/fun/logos,Generate AI art illusions incorporating your logo,"krea.ai/fun/logos is a tool where you can upload your own logo or select from existing ones, then enter a prompt or use a generated one to create AI-generated images that incorporate your logo into the described scene or style. It allows customization of how closely the generated images resemble your original logo by adjusting a slider for logo strength. This is useful for creating unique visual illusions or artistic renditions of logos, and can be combined with AI-generated logos from other sites to produce creative logo illusions.",data\raw\frames\frame_video_IbfibAc9FDA_unknown_website_004_00.jpg,
dPVCvNtXEbE,https://www.youtube.com/watch?v=dPVCvNtXEbE,I Never Have To Work Again,11/28/2023,No website,App to customize foot pedals for computer shortcuts and automation,"The app allows users to configure foot pedals purchased from Amazon to perform specific actions on their computer when pressed. For example, one pedal can be set to automatically unmute the microphone during meetings, while another can open an Excel workbook in full screen. This tool enhances productivity by enabling hands-free control of common tasks and quick access to applications.",data\raw\frames\frame_video_dPVCvNtXEbE_unknown_website_027_00.jpg,
CPrtb0SlNNU,https://www.youtube.com/watch?v=CPrtb0SlNNU,Why Black Friday Is A Scam,11/22/2023,keepa.com,Find price history of item to avoid Black Friday scams,Unable to extract detailed information from transcript,data\raw\frames\frame_video_CPrtb0SlNNU_unknown_website_004_01.jpg,
w9TbmvLB4uw,https://www.youtube.com/watch?v=w9TbmvLB4uw,Create Your Own Office,11/20/2023,deskspacing.com,Website mentioned: deskspacing.com,Unable to extract detailed information from transcript,data\raw\frames\frame_video_w9TbmvLB4uw_unknown_website_003_00.jpg,
w-dvHT7U8ik,https://www.youtube.com/watch?v=w-dvHT7U8ik,This Mouse Might Get Me In Trouble!,11/13/2023,amazon.com,Mouse that auto jitters to keep you active status,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_w-dvHT7U8ik_unknown_website_000_00.jpg,
YY_cgJcZkwM,https://www.youtube.com/watch?v=YY_cgJcZkwM,Why Did No One Tell Me This?,11/12/2023,No website,Fan summer/winter switch,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_YY_cgJcZkwM_unknown_website_001_00.jpg,
bNrDq3zCZMY,https://www.youtube.com/watch?v=bNrDq3zCZMY,How Do I Fix This?,11/6/2023,repairclinic.com,"Find appliance manuals, common problems, repair videos, and parts","repairclinic.com allows users to enter their appliance model number to access a list of common problems, instructional videos on how to fix those issues, the full user manual, and an option to shop for replacement parts, making appliance repair straightforward and convenient.",data\raw\frames\frame_video_bNrDq3zCZMY_unknown_website_007_00.jpg,
VcDnjOxGFAM,https://www.youtube.com/watch?v=VcDnjOxGFAM,My Boss Fired Me,10/30/2023,outlook.com,Website mentioned: outlook.com,Unable to extract detailed information from transcript,data\raw\frames\frame_video_VcDnjOxGFAM_unknown_website_001_02.jpg,
wN4n-6QA45Y,https://www.youtube.com/watch?v=wN4n-6QA45Y,Someone Stole My Identity!,10/23/2023,haveibeenpwned.com,Check if your email has been involved in data breaches,"The website allows users to enter their email address to see how many data breaches their email has been part of. It provides detailed information about each breach, including the company involved, the date of the breach, how it happened, and what personal data might have been leaked, helping users understand their exposure to data leaks.",data\raw\frames\frame_video_wN4n-6QA45Y_unknown_website_004_00.jpg,
cDau2VO83iY,https://www.youtube.com/watch?v=cDau2VO83iY,Don't Buy That! Use This!,10/16/2023,microsoft365.com,"Free online versions of Word, Excel, PowerPoint, and Outlook","By pressing Ctrl + Shift + Windows + Alt, you can open the Microsoft 365 website and sign up for the free version, allowing access to free online Office apps without paying.",data\raw\frames\frame_video_cDau2VO83iY_microsoft 365_002.jpg,
5TXjZD6QYi4,https://www.youtube.com/watch?v=5TXjZD6QYi4,Did you know about this PC Trick?,10/8/2023,No website,Windows network settings tool to view saved Wi-Fi passwords,"The tool accessed by typing 'NCPA.CPL' in the Windows Run dialog opens the Network Connections panel. From there, you can double-click your Wi-Fi connection, go to Wireless Properties, then the Security tab, and check 'Show Characters' to reveal the saved Wi-Fi password. This is a built-in Windows utility that helps users retrieve forgotten Wi-Fi passwords without needing third-party software.",data\raw\frames\frame_video_5TXjZD6QYi4_unknown_website_009_00.jpg,
yxZ46D7xTwk,https://www.youtube.com/watch?v=yxZ46D7xTwk,Someone Was Spying On Me!,10/1/2023,No website,Fake wall charger hidden camera,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_yxZ46D7xTwk_unknown_website_005_00.jpg,
3scC9dza0Xc,https://www.youtube.com/watch?v=3scC9dza0Xc,Your Internet History Isn't Deleted!,9/24/2023,No website,Permanantly delete browser data,Unable to extract detailed information from transcript,data\raw\frames\frame_video_3scC9dza0Xc_unknown_website_001_02.jpg,
HFaXYQXKsKI,https://www.youtube.com/watch?v=HFaXYQXKsKI,How I Became The Best Artist,9/16/2023,nvidia.com/en-us/studio/canvas/,Turn rough sketches into realistic landscape images,"The website offers an app that transforms simple, bad drawings into amazing landscapes by allowing users to select materials like hills and clouds, draw on a canvas, and see real-time updates on the output side. Users can also change styles and variations to customize the final image, making it easy to create realistic landscape art from basic sketches.",data\raw\frames\frame_video_HFaXYQXKsKI_unknown_website_004_00.jpg,
XGoh89rhCdE,https://www.youtube.com/watch?v=XGoh89rhCdE,I Just Learned This Today,9/9/2023,No website,Set gas prepaid amount without going inside,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_XGoh89rhCdE_unknown_website_001_00.jpg,
84JpK_Gfj9I,https://www.youtube.com/watch?v=84JpK_Gfj9I,PC Shortcut Teacher's Don't Want You To Know!,9/2/2023,No tips found,Setup second desktop view,Processing status: vision_done,,
0jHctusPrj0,https://www.youtube.com/watch?v=0jHctusPrj0,Powerful Websites You Should Know!,8/26/2023,photoeditor.ai,Remove unwanted objects from photos by coloring over them,"photoeditor.ai allows users to upload any photo and use their mouse to color over unwanted parts of the image to remove them. After coloring in the areas to be removed, the user simply releases the mouse, and the website processes the photo to eliminate those unwanted elements, improving the image quickly and easily.",data\raw\frames\frame_video_0jHctusPrj0_unknown_website_004_00.jpg,
AzHWPq-TFF8,https://www.youtube.com/watch?v=AzHWPq-TFF8,Computer Trick I Guarantee You Didn't Know!,8/19/2023,bing.com/chat,Generate and modify images using AI based on uploaded pictures,"The website allows users to upload an image and then use AI to create new images inspired by the uploaded one. For example, uploading a picture of C3PO and requesting the creation of logos for a mechanic shop in that style results in multiple generated logo options. Users can further customize these images, such as making them 3D or applying other modifications, providing a creative and interactive image generation experience.",data\raw\frames\frame_video_AzHWPq-TFF8_unknown_website_003_00.jpg,
3nS2JaAsMEI,https://www.youtube.com/watch?v=3nS2JaAsMEI,Free Courses for AI,8/12/2023,cloudskillsboost.google/journeys/118,Access free AI courses to start learning and mastering AI skills,"The website offers 10 free courses focused on AI, including introductory classes like Generative AI Fundamentals and how AI creates images. Users can select any course to begin their AI learning journey, with the goal of eventually applying AI models in their own applications.",data\raw\frames\frame_video_3nS2JaAsMEI_unknown_website_005_00.jpg,
oXhHWnO3wL8,https://www.youtube.com/watch?v=oXhHWnO3wL8,Create 3D Characters From Pictures,8/5/2023,midjourney.com,AI art generator that creates images from text prompts,"Used to create unique images like a Renaissance-era human Mario, which can then be uploaded to another site to generate 3D models.",data\raw\frames\frame_video_oXhHWnO3wL8_midjourney_com_001.jpg,
5uDtPA7APwo,https://www.youtube.com/watch?v=5uDtPA7APwo,Play Forgotten Flash Games,7/29/2023,bluemaxima.org/flashpoint/,Play thousands of archived Flash games after Flash ended,"The website bluemaxima.org/flashpoint/ offers an app that allows users to play thousands of Flash games that were forgotten and became inaccessible after the end of Flash support. It serves as a preservation tool for Flash games, enabling users to enjoy these games despite the discontinuation of Flash technology.",data\raw\frames\frame_video_5uDtPA7APwo_unknown_website_004_00.jpg,
Iqnd16MPTH8,https://www.youtube.com/watch?v=Iqnd16MPTH8,Why Doesn't Netflix Tell You This?,7/21/2023,netflix.com,Improve netflix audio,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_Iqnd16MPTH8_unknown_website_002_00.jpg,
oOgTOFz5acE,https://www.youtube.com/watch?v=oOgTOFz5acE,This Could Fix Your Computer!,7/14/2023,No website,Unfreeze your black screened PC,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_oOgTOFz5acE_unknown_website_000.jpg,
7Ys8gu9Pny0,https://www.youtube.com/watch?v=7Ys8gu9Pny0,Online Shopping Secret,7/7/2023,amazon.com,Find overstocked brand new items at discounted prices,"By navigating to the dropdown menu on Amazon's main site, scrolling to 'Programs and Features,' selecting 'See All,' and then clicking on 'Amazon Outlet,' you can access a section with many overstocked new items offered at significant discounts compared to other retailers like Walmart.",data\raw\frames\frame_video_7Ys8gu9Pny0_amazon_com_002.jpg,
XqQwXlIPhsw,https://www.youtube.com/watch?v=XqQwXlIPhsw,The Future of Movies,6/30/2023,app.runwayml.com,AI tools for video style transfer and text-to-video generation,"The speaker describes a website offering AI tools like Gen1 for uploading a short video clip and applying a chosen style or custom style prompt to create a new styled video, and Gen2 for generating short video clips from text prompts, such as an aerial drone shot of a volcano.",data\raw\frames\frame_video_XqQwXlIPhsw_not explicitly mentioned_000.jpg,
Qdh6bjACFZo,https://www.youtube.com/watch?v=Qdh6bjACFZo,I Shouldn't Show You This,6/23/2023,gamma.app,Create AI-generated presentations quickly and easily,"Gamma.app allows users to create presentations by selecting the type of content they want to create and entering a topic. The website then generates an editable outline and, upon continuation, offers design options. The AI live generates a complete presentation based on the chosen design, making the process simple and efficient.",data\raw\frames\frame_video_Qdh6bjACFZo_unknown_website_004_00.jpg,
#NAME?,https://www.youtube.com/watch?v=-FlpIJqD8do,Will I Get Fired For This?,6/17/2023,No website,Simulates mouse movement to keep your computer active,"The mouse jiggler is a device that you plug into your USB port and activate by pressing and holding a button. It automatically moves your mouse cursor to simulate activity on your computer, preventing it from going idle or showing inactivity. This tool is useful for users who want to appear active on their computer, especially to avoid detection by managers or monitoring software.",data\raw\frames\frame_video_-FlpIJqD8do_unknown_website_007_00.jpg,
iJH9JOak8_o,https://www.youtube.com/watch?v=iJH9JOak8_o,How to get Secret Rewards,6/9/2023,No website,Use loyalty number for reward at the pump,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_iJH9JOak8_o_unknown_website_001_00.jpg,
PtuP3-DS8KA,https://www.youtube.com/watch?v=PtuP3-DS8KA,I Found a Free Video Editor,6/2/2023,vidmix.app,Free video editor,Error: No transcript available from AssemblyAI,,
TT9DaBUZY3k,https://www.youtube.com/watch?v=TT9DaBUZY3k,Will This Make Us Lazy?,5/26/2023,gmail.com,Generates email templates based on user prompts within Gmail,"This tool is integrated into Gmail and helps users compose emails by generating template text based on a brief description of what the user wants to say. By clicking on a magic pen icon at the bottom of the email draft, users can type a prompt like 'I want to ask for a raise for my boss,' and the tool will create a complete email template that can be directly inserted. It also offers options to formalize, elaborate, or shorten the generated email, making it easier and faster to write professional or customized emails.",data\raw\frames\frame_video_TT9DaBUZY3k_unknown_website_007_00.jpg,
eHJbu6xangc,https://www.youtube.com/watch?v=eHJbu6xangc,Convert Text to a Song?,5/19/2023,aitestkitchen.withgoogle.com,Generate music tracks from text descriptions using AI,"Allows users to describe the type of music they want, such as a classical song in the style of a Mario game with specific instruments, and the AI generates matching tracks.",data\raw\frames\frame_video_eHJbu6xangc_google's text to music experiment_001.jpg,
u1KRfNsKoO8,https://www.youtube.com/watch?v=u1KRfNsKoO8,Don't Tell YouTube!,5/11/2023,No website,Play youtube video while iPhone locked,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_u1KRfNsKoO8_unknown_website_014_00.jpg,
4XIZ6KoRWr4,https://www.youtube.com/watch?v=4XIZ6KoRWr4,Genius or Creepy?,5/4/2023,www.nvidia.com,Download Nvidia app to keep eyes focused on camera during webcam use,"The website www.nvidia.com provides access to an Nvidia app that forces your eyes to look directly at the camera while using your webcam. This app ensures that even if you are reading a script or looking away, your eyes appear to be staring into the camera, which is ideal for maintaining eye contact during Zoom meetings.",data\raw\frames\frame_video_4XIZ6KoRWr4_unknown_website_004_00.jpg,
BO3dr0MAQpw,https://www.youtube.com/watch?v=BO3dr0MAQpw,Control Your PC with a Phone?,4/24/2023,remotedesktop.google.com,Remote access PC from phone,Processing status: vision_done,,
hfQvaNDntoc,https://www.youtube.com/watch?v=hfQvaNDntoc,Is Someone Spying on Your Google Account?,4/19/2023,myaccount.google.com,Check recent activity and devices signed into your Google account,"Visit the Security tab to review recent account activity, find lost devices linked to your account, and view all devices currently signed in; you can sign out of any unrecognized devices for security.",data\raw\frames\frame_video_hfQvaNDntoc_myaccount_google_com_002.jpg,
1JpGnZH7PZg,https://www.youtube.com/watch?v=1JpGnZH7PZg,"Don't Buy Premiere Pro, Use This!",4/14/2023,blackmagicdesign.com,Free video editing software with professional effects and tools,"Recommended as a cost-effective alternative to Adobe Premiere Pro, Davinci Resolve offers all the necessary effects and tools to create high-quality videos, suitable for aspiring creators like MrBeast.",data\raw\frames\frame_video_1JpGnZH7PZg_davinci resolve_001.jpg,
wVFJIsWFSig,https://www.youtube.com/watch?v=wVFJIsWFSig,Launch An Asteroid At Your City,4/10/2023,neal.fun/asteroid-launcher,Launch asteroids anywhere on a map for interactive fun,"Allows users to select locations on a map, choose asteroid types, adjust speed, and launch asteroids to see the impact visually.",data\raw\frames\frame_video_wVFJIsWFSig_website secure boredom part 76_002.jpg,
fNEQBFtkS-Y,https://www.youtube.com/watch?v=fNEQBFtkS-Y,Use ChatGPT To Get Any Job,4/5/2023,https://chat.openai.com,Generate customized cover letters from job descriptions,"The website https://chat.openai.com allows users to input job descriptions and receive AI-generated cover letters tailored to those jobs, which users can then edit and personalize. This functionality helps job seekers efficiently create professional cover letters by leveraging AI to draft initial versions based on the specific job requirements.",data\raw\frames\frame_video_fNEQBFtkS-Y_unknown_website_015_01.jpg,
P1rCD_9H6DU,https://www.youtube.com/watch?v=P1rCD_9H6DU,A Computer Tip You Need to Know!,4/1/2023,ismycomputeron.com,Check if your computer is currently on or off,"This website helps you determine whether your computer is powered on or off by providing a simple status check, useful when you're unsure about your computer's power state.",data\raw\frames\frame_video_P1rCD_9H6DU_ismycomputeron_com_000.jpg,
1s_1_PMxkso,https://www.youtube.com/watch?v=1s_1_PMxkso,Don't Make This Mistake in Excel,3/26/2023,No tips found,Copy/paste in excel easily,Processing status: vision_done,,
XVI-e6AR5Gw,https://www.youtube.com/watch?v=XVI-e6AR5Gw,Does This Car Trick Actually Work?,3/19/2023,No website,Lock your car from farther away,Website reference detected but specific details not available from transcript,data\raw\frames\frame_video_XVI-e6AR5Gw_unknown_website_001_00.jpg,
